id_voo,cia_aerea,matricula_aeronave,modelo_aeronave,capacidade,origem_code,origem_cidade,origem_uf,destino_code,destino_cidade,destino_uf,data_partida_prevista,atraso_minutos,cancelado,motivo_atraso,condicao_climatica,passageiros_embarcados
98e3e8f8-3b79-4e3d-addf-f28caf7dab34,LATAM,PT-UMK,Boeing 737,180,GIG,Rio de Janeiro,RJ,BSB,Brasília,DF,2025-02-12 16:23:43,160,False,Clima,Tempestade,150
f445c37b-7f85-456c-99bc-767da4a31a76,GOL,PT-TTN,Boeing 737,180,GRU,Guarulhos,SP,GIG,Rio de Janeiro,RJ,2025-11-05 03:01:44,0,False,Pontual,Chuva,116
5d3000a0-d000-4da4-ab33-12c7f1717f36,GOL,PT-RND,Boeing 737,180,BSB,Brasília,DF,GRU,Guarulhos,SP,2025-09-07 02:31:51,187,False,Clima,Tempestade,152
69a57e23-ba4e-42fe-ac01-4abeb89b9476,GOL,PT-VMK,Boeing 737,180,BSB,Brasília,DF,GRU,Guarulhos,SP,2025-02-22 08:21:12,0,False,Pontual,Sol,107
738aca81-c72c-433b-9eec-420f3474d0f7,LATAM,PT-OXT,Boeing 737,180,BSB,Brasília,DF,GRU,Guarulhos,SP,2025-07-01 10:29:19,0,False,Pontual,Sol,118
a577afec-243b-4b46-8ac9-5b8e1b4e8445,GOL,PT-WAH,Boeing 737,180,GIG,Rio de Janeiro,RJ,GRU,Guarulhos,SP,2025-03-18 21:53:05,0,False,Pontual,Sol,107
f90bbc9f-5072-4789-91e7-0498857030be,AZUL,PT-QOU,Boeing 737,180,BSB,Brasília,DF,GIG,Rio de Janeiro,RJ,2025-07-09 05:58:59,0,False,Pontual,Sol,109
973c95cf-1773-4670-94b6-c942d4f59062,AZUL,PT-MEQ,Boeing 737,180,GRU,Guarulhos,SP,BSB,Brasília,DF,2025-02-01 10:00:06,0,False,Pontual,Sol,146
b81611e7-7336-43c9-b7df-9e4f1ecdd0b4,AZUL,PT-MCO,Boeing 737,180,BSB,Brasília,DF,GIG,Rio de Janeiro,RJ,2025-01-11 08:20:08,0,False,Pontual,Sol,165
9de504d6-8889-439f-8851-1f166e55b6d0,AZUL,PT-YYW,Boeing 737,180,GIG,Rio de Janeiro,RJ,BSB,Brasília,DF,2025-03-16 15:01:57,0,False,Pontual,Chuva,117
82518bff-09d1-4197-97dc-ba8fa9d7f6ba,AZUL,PT-CGS,Boeing 737,180,GRU,Guarulhos,SP,BSB,Brasília,DF,2025-01-06 14:33:09,0,False,Pontual,Sol,100
9808ba38-5fc5-43ad-bd45-6373078d8853,AZUL,PT-SSE,Boeing 737,180,GRU,Guarulhos,SP,BSB,Brasília,DF,2025-07-26 07:48:11,0,False,Pontual,Chuva,106
4e3b9cc9-9491-42a8-a1dc-b78fd20b69d0,AZUL,PT-NWF,Boeing 737,180,BSB,Brasília,DF,GRU,Guarulhos,SP,2025-10-31 12:20:05,0,False,Pontual,Sol,168
dcfb25d5-ce4a-43ea-a21c-1a113339bc48,LATAM,PT-AIF,Boeing 737,180,GIG,Rio de Janeiro,RJ,BSB,Brasília,DF,2025-03-05 16:50:21,0,False,Pontual,Chuva,122
083a6512-a410-41b3-a81c-15cdc88a614c,GOL,PT-SHD,Boeing 737,180,GIG,Rio de Janeiro,RJ,BSB,Brasília,DF,2025-01-06 18:43:39,0,False,Pontual,Sol,147
b639c643-2dac-4c56-83b2-91493b1acad5,GOL,PT-FXW,Boeing 737,180,BSB,Brasília,DF,GIG,Rio de Janeiro,RJ,2025-03-02 05:17:25,0,False,Pontual,Sol,136
362efce4-3d7c-4fec-99b7-d93d04e4365f,AZUL,PT-GRZ,Boeing 737,180,GRU,Guarulhos,SP,GIG,Rio de Janeiro,RJ,2025-02-24 17:04:44,0,False,Pontual,Sol,142
fd342a64-97e0-431c-83b8-55653830a807,LATAM,PT-PKF,Boeing 737,180,GIG,Rio de Janeiro,RJ,GRU,Guarulhos,SP,2025-11-02 19:05:56,0,False,Pontual,Chuva,104
f1895743-974b-4912-9d68-3a5a04f6630b,GOL,PT-ZHK,Boeing 737,180,GRU,Guarulhos,SP,GIG,Rio de Janeiro,RJ,2025-08-25 04:50:52,0,False,Pontual,Sol,144
54774088-7109-431f-b321-46e911bc7162,LATAM,PT-LWQ,Boeing 737,180,GRU,Guarulhos,SP,BSB,Brasília,DF,2025-08-14 19:12:39,0,False,Pontual,Sol,106
be0bb969-8a01-4e6b-a50b-493bd102d3ef,LATAM,PT-UAM,Boeing 737,180,GIG,Rio de Janeiro,RJ,BSB,Brasília,DF,2025-11-19 04:44:17,152,False,Clima,Tempestade,110
b28b40ae-18fa-4e17-a525-a18064c6164f,LATAM,PT-NNK,Boeing 737,180,GIG,Rio de Janeiro,RJ,GRU,Guarulhos,SP,2025-03-16 20:00:00,0,False,Pontual,Chuva,168
80f8d083-9f57-4b40-989c-fe88819eb14e,GOL,PT-HNO,Boeing 737,180,BSB,Brasília,DF,GRU,Guarulhos,SP,2025-10-22 03:24:44,0,False,Pontual,Sol,171
4f91b7ac-c42c-43eb-8bbd-4bf42e390488,AZUL,PT-HMV,Boeing 737,180,BSB,Brasília,DF,GRU,Guarulhos,SP,2025-09-24 01:52:20,0,False,Pontual,Chuva,144
7298f1b9-d043-4001-8c8a-ba648ed3cee2,GOL,PT-ARD,Boeing 737,180,BSB,Brasília,DF,GRU,Guarulhos,SP,2025-01-21 10:50:58,0,False,Pontual,Sol,107
9a3e7ec1-c35b-43de-8ee6-5da411116a58,GOL,PT-BLS,Boeing 737,180,BSB,Brasília,DF,GIG,Rio de Janeiro,RJ,2025-07-26 06:59:21,0,False,Pontual,Sol,168
6a4f8cb6-0144-4f33-a716-7a879fb93985,GOL,PT-WCV,Boeing 737,180,GRU,Guarulhos,SP,GIG,Rio de Janeiro,RJ,2025-07-30 03:01:59,0,False,Pontual,Sol,129
d3915cc2-8633-4119-a097-26f27d07a5d8,GOL,PT-DTH,Boeing 737,180,GRU,Guarulhos,SP,BSB,Brasília,DF,2025-03-26 08:42:41,0,False,Pontual,Sol,126
b9c16d67-b43f-463e-b47a-bfe2b197a1ab,AZUL,PT-UDK,Boeing 737,180,GIG,Rio de Janeiro,RJ,GRU,Guarulhos,SP,2025-04-12 17:02:34,0,False,Pontual,Sol,107
ea43499b-aff7-4dae-b688-7b7479ca1a7e,AZUL,PT-VHS,Boeing 737,180,GRU,Guarulhos,SP,BSB,Brasília,DF,2025-01-06 00:46:32,0,False,Pontual,Sol,123
cb0076d4-03cb-437d-8aa4-c2585cc1726e,AZUL,PT-LZN,Boeing 737,180,GIG,Rio de Janeiro,RJ,BSB,Brasília,DF,2025-10-16 09:20:16,0,False,Pontual,Sol,134
4e6cf6c0-5fa7-4dca-b048-e00816474504,LATAM,PT-YEW,Boeing 737,180,GRU,Guarulhos,SP,GIG,Rio de Janeiro,RJ,2025-04-01 08:46:06,0,False,Pontual,Sol,152
c2d87206-94b7-4b7a-96d3-1a8651bf9e69,GOL,PT-GAH,Boeing 737,180,GIG,Rio de Janeiro,RJ,GRU,Guarulhos,SP,2025-06-30 18:30:37,0,False,Pontual,Chuva,141
a1ebac0a-4e2d-4032-90b1-e312ef3cdaa3,LATAM,PT-XZT,Boeing 737,180,GRU,Guarulhos,SP,GIG,Rio de Janeiro,RJ,2025-03-05 21:02:40,0,False,Pontual,Sol,161
0d6db6d4-2a97-4a4c-a534-9edeba6778c5,LATAM,PT-GLC,Boeing 737,180,GIG,Rio de Janeiro,RJ,GRU,Guarulhos,SP,2025-05-06 14:28:39,0,False,Pontual,Sol,158
a06443f8-bd1f-473e-8782-93097ae218ee,LATAM,PT-COC,Boeing 737,180,GIG,Rio de Janeiro,RJ,GRU,Guarulhos,SP,2025-04-18 10:22:21,0,False,Pontual,Sol,129
c45c4722-0c7e-4562-98b8-015546703efd,GOL,PT-MNP,Boeing 737,180,GIG,Rio de Janeiro,RJ,GRU,Guarulhos,SP,2025-10-28 09:25:36,0,False,Pontual,Sol,155
3fc22dbf-8de3-4abc-be81-74ecefd3eb4e,LATAM,PT-WPS,Boeing 737,180,GIG,Rio de Janeiro,RJ,GRU,Guarulhos,SP,2025-01-29 21:01:49,0,False,Pontual,Chuva,170
bb9c3bfb-9ec9-447f-8deb-b0d10e4c9ae1,LATAM,PT-NWK,Boeing 737,180,GRU,Guarulhos,SP,BSB,Brasília,DF,2025-05-29 06:09:13,0,False,Pontual,Sol,112
9e8fd718-549e-4635-97f1-87160c8085cd,LATAM,PT-CBM,Boeing 737,180,GRU,Guarulhos,SP,BSB,Brasília,DF,2025-06-15 06:29:18,114,False,Clima,Tempestade,161
8b49885e-5c82-4b53-adc4-25a5dc19817d,GOL,PT-FDT,Boeing 737,180,BSB,Brasília,DF,GRU,Guarulhos,SP,2025-04-27 00:16:31,0,False,Pontual,Sol,102
4b0b957d-22fd-4a1f-bef3-a3cd440979b0,LATAM,PT-DIO,Boeing 737,180,GIG,Rio de Janeiro,RJ,BSB,Brasília,DF,2025-06-26 05:58:33,0,False,Pontual,Sol,120
9de6bf77-11cc-4b9c-b31d-bb4144be70f2,GOL,PT-PPA,Boeing 737,180,GRU,Guarulhos,SP,GIG,Rio de Janeiro,RJ,2025-09-03 04:33:47,0,False,Pontual,Sol,114
a53a36ca-5caa-4fc3-8ba0-cef8358f3826,AZUL,PT-UYI,Boeing 737,180,GRU,Guarulhos,SP,BSB,Brasília,DF,2025-09-02 11:19:54,0,False,Pontual,Chuva,107
df63f6a8-759c-4278-a9b5-31ed6d68dca0,GOL,PT-FAD,Boeing 737,180,GIG,Rio de Janeiro,RJ,BSB,Brasília,DF,2025-06-23 22:25:20,0,False,Pontual,Chuva,149
4dbb8929-4a11-47fa-bbc2-813c82611fe5,GOL,PT-KHY,Boeing 737,180,BSB,Brasília,DF,GRU,Guarulhos,SP,2025-01-03 17:26:08,86,True,Clima,Tempestade,173
d9df05aa-c521-47ba-b713-f7d10e891a5f,LATAM,PT-OJP,Boeing 737,180,GIG,Rio de Janeiro,RJ,BSB,Brasília,DF,2025-09-14 02:16:23,0,False,Pontual,Sol,132
80e789dc-f8b4-4611-a5dd-297ce46bb6c9,LATAM,PT-RAX,Boeing 737,180,GIG,Rio de Janeiro,RJ,GRU,Guarulhos,SP,2025-03-05 13:27:23,0,False,Pontual,Chuva,180
b5ffbd25-2a32-48ff-8165-da6045d59a2b,LATAM,PT-MNP,Boeing 737,180,GRU,Guarulhos,SP,BSB,Brasília,DF,2024-12-10 22:35:13,0,False,Pontual,Sol,175
17ef4f5a-5129-4e0a-b8fe-36c62d05ccb4,LATAM,PT-FDK,Boeing 737,180,GIG,Rio de Janeiro,RJ,GRU,Guarulhos,SP,2025-08-16 08:16:30,0,False,Pontual,Sol,116
