id_voo,cia_aerea,matricula_aeronave,modelo_aeronave,capacidade,origem_code,origem_cidade,origem_uf,destino_code,destino_cidade,destino_uf,data_partida_prevista,atraso_minutos,cancelado,motivo_atraso,condicao_climatica,passageiros_embarcados
c83bcd1a-8765-40ea-aaa5-f3653cf24f0e,LATAM,PT-KXT,Boeing 737,180,GRU,Guarulhos,SP,GIG,Rio de Janeiro,RJ,2025-11-10 19:13:20,0,False,Pontual,Chuva,121
bf6f7e0d-bd64-4897-a307-3d48b7b9741a,AZUL,PT-DHB,Boeing 737,180,GRU,Guarulhos,SP,GIG,Rio de Janeiro,RJ,2025-09-09 03:02:23,0,False,Pontual,Sol,106
8044479e-ebe1-4b07-847e-145639593054,LATAM,PT-AWS,Boeing 737,180,GIG,Rio de Janeiro,RJ,BSB,Brasília,DF,2025-10-13 05:03:20,0,False,Pontual,Sol,145
c7f44725-3bf0-4ee0-b222-7e1bef1a6d55,LATAM,PT-JNI,Boeing 737,180,GRU,Guarulhos,SP,BSB,Brasília,DF,2025-02-18 01:31:25,0,False,Pontual,Chuva,171
472a5711-69c9-4090-9cba-b5f5f015037c,AZUL,PT-OWO,Boeing 737,180,GIG,Rio de Janeiro,RJ,BSB,Brasília,DF,2025-06-03 22:28:12,168,False,Clima,Tempestade,129
8692b341-15fe-4d51-8735-63160b3b6fd9,AZUL,PT-QJZ,Boeing 737,180,GIG,Rio de Janeiro,RJ,BSB,Brasília,DF,2025-03-07 18:50:15,0,False,Pontual,Chuva,123
40de5fee-db3c-4305-98b6-2d65572c1dc9,GOL,PT-EED,Boeing 737,180,GIG,Rio de Janeiro,RJ,GRU,Guarulhos,SP,2025-01-10 12:24:49,0,False,Pontual,Sol,149
d7626bd4-7711-4a32-a5bf-fd20cae31a19,AZUL,PT-ZUG,Boeing 737,180,BSB,Brasília,DF,GIG,Rio de Janeiro,RJ,2025-05-14 15:08:08,0,False,Pontual,Sol,135
981eba23-f790-4634-bbd7-b128d25ec681,GOL,PT-DVA,Boeing 737,180,GRU,Guarulhos,SP,GIG,Rio de Janeiro,RJ,2025-08-14 15:44:48,0,False,Pontual,Sol,150
a61b2c65-c759-4b41-add3-d78655fe67d6,GOL,PT-GWN,Boeing 737,180,BSB,Brasília,DF,GRU,Guarulhos,SP,2025-10-29 07:11:43,0,False,Pontual,Chuva,158
86326018-042b-49a8-8139-1aba042aa723,GOL,PT-ILK,Boeing 737,180,BSB,Brasília,DF,GRU,Guarulhos,SP,2025-12-04 15:27:02,0,False,Pontual,Chuva,162
95ae4bcd-00bd-4978-825d-4ce849728859,GOL,PT-EIN,Boeing 737,180,GRU,Guarulhos,SP,GIG,Rio de Janeiro,RJ,2025-06-14 02:14:06,0,False,Pontual,Sol,121
91b06ef4-118c-4479-b7fb-57bc574bb06c,AZUL,PT-XMB,Boeing 737,180,GIG,Rio de Janeiro,RJ,GRU,Guarulhos,SP,2024-12-14 02:19:46,0,False,Pontual,Sol,160
f187f0f3-3169-460c-9b6f-048da4b4dca7,GOL,PT-CSO,Boeing 737,180,GRU,Guarulhos,SP,BSB,Brasília,DF,2024-12-12 21:45:56,0,False,Pontual,Sol,165
aad5b129-42c8-482b-8aeb-e5583239b16b,LATAM,PT-IQS,Boeing 737,180,BSB,Brasília,DF,GRU,Guarulhos,SP,2025-11-13 14:25:12,0,False,Pontual,Sol,162
44aa6799-cfb0-43ee-b154-90c8d9ca3aa4,GOL,PT-MML,Boeing 737,180,GIG,Rio de Janeiro,RJ,BSB,Brasília,DF,2025-04-22 18:31:46,0,False,Pontual,Sol,105
e41e56c1-e4af-4bcb-a6d6-05e0d515550f,GOL,PT-QWY,Boeing 737,180,GIG,Rio de Janeiro,RJ,BSB,Brasília,DF,2024-12-30 05:59:02,0,False,Pontual,Chuva,116
a57f9569-1a26-438b-99fb-2c71555f1f07,AZUL,PT-QJS,Boeing 737,180,GRU,Guarulhos,SP,GIG,Rio de Janeiro,RJ,2025-10-26 02:30:34,0,False,Pontual,Sol,148
37c97b7e-2122-4fc8-82f9-46a3daac01d5,AZUL,PT-VQG,Boeing 737,180,GIG,Rio de Janeiro,RJ,BSB,Brasília,DF,2025-03-17 14:23:26,0,False,Pontual,Chuva,101
fac48aae-f185-45cd-a752-9668a34d5b89,GOL,PT-YBW,Boeing 737,180,GRU,Guarulhos,SP,GIG,Rio de Janeiro,RJ,2025-11-20 21:34:22,0,False,Pontual,Sol,108
f64799f7-c570-4c10-b922-be3afcada87d,LATAM,PT-NTC,Boeing 737,180,GIG,Rio de Janeiro,RJ,GRU,Guarulhos,SP,2025-02-23 19:36:08,0,False,Pontual,Sol,138
7fc43e36-9375-439f-a737-eace9c19c006,LATAM,PT-WRM,Boeing 737,180,BSB,Brasília,DF,GRU,Guarulhos,SP,2025-11-03 19:45:34,0,False,Pontual,Sol,120
